,Area,Element,Item,Year,hg/ha_yield,pesticides_tonnes,average_rain_fall_mm_per_year,avg_temp
5929,Canada,Yield,Apple,2005,115053,36363.0,537.0,5.53
5930,Canada,Yield,Apple,2005,115053,36363.0,537.0,7.22
5931,Canada,Yield,Apple,2005,115053,36363.0,537.0,8.38
5932,Canada,Yield,Soybeans,2005,27082,36363.0,537.0,7.89
5933,Canada,Yield,Soybeans,2005,27082,36363.0,537.0,9.05
5934,Canada,Yield,Soybeans,2005,27082,36363.0,537.0,5.95
5935,Canada,Yield,Soybeans,2005,27082,36363.0,537.0,5.53
5936,Canada,Yield,Soybeans,2005,27082,36363.0,537.0,7.22
5937,Canada,Yield,Soybeans,2005,27082,36363.0,537.0,8.38
5938,Canada,Yield,lentil,2005,27381,36363.0,537.0,7.89
5939,Canada,Yield,lentil,2005,27381,36363.0,537.0,9.05
5940,Canada,Yield,lentil,2005,27381,36363.0,537.0,5.95
5941,Canada,Yield,lentil,2005,27381,36363.0,537.0,5.53
5942,Canada,Yield,lentil,2005,27381,36363.0,537.0,7.22
5943,Canada,Yield,lentil,2005,27381,36363.0,537.0,8.38
5944,Canada,Yield,Maize,2006,84737,36572.75,537.0,8.66
5945,Canada,Yield,Maize,2006,84737,36572.75,537.0,9.83
5946,Canada,Yield,Maize,2006,84737,36572.75,537.0,6.95
5947,Canada,Yield,Maize,2006,84737,36572.75,537.0,6.3
5948,Canada,Yield,Maize,2006,84737,36572.75,537.0,7.85
5949,Canada,Yield,Maize,2006,84737,36572.75,537.0,8.31
5950,Canada,Yield,Apple,2006,130482,36572.75,537.0,8.66
5951,Canada,Yield,Apple,2006,130482,36572.75,537.0,9.83
5952,Canada,Yield,Apple,2006,130482,36572.75,537.0,6.95
5953,Canada,Yield,Apple,2006,130482,36572.75,537.0,6.3
5954,Canada,Yield,Apple,2006,130482,36572.75,537.0,7.85
5955,Canada,Yield,Apple,2006,130482,36572.75,537.0,8.31
5956,Canada,Yield,Soybeans,2006,28850,36572.75,537.0,8.66
5957,Canada,Yield,Soybeans,2006,28850,36572.75,537.0,9.83
5958,Canada,Yield,Soybeans,2006,28850,36572.75,537.0,6.95
5959,Canada,Yield,Soybeans,2006,28850,36572.75,537.0,6.3
5960,Canada,Yield,Soybeans,2006,28850,36572.75,537.0,7.85
5961,Canada,Yield,Soybeans,2006,28850,36572.75,537.0,8.31
5962,Canada,Yield,lentil,2006,26096,36572.75,537.0,8.66
5963,Canada,Yield,lentil,2006,26096,36572.75,537.0,9.83
5964,Canada,Yield,lentil,2006,26096,36572.75,537.0,6.95
5965,Canada,Yield,lentil,2006,26096,36572.75,537.0,6.3
5966,Canada,Yield,lentil,2006,26096,36572.75,537.0,7.85
5967,Canada,Yield,lentil,2006,26096,36572.75,537.0,8.31
5968,Canada,Yield,Maize,2007,85108,45140.03,537.0,7.42
5969,Canada,Yield,Maize,2007,85108,45140.03,537.0,9.14
5970,Canada,Yield,Maize,2007,85108,45140.03,537.0,5.25
5971,Canada,Yield,Maize,2007,85108,45140.03,537.0,4.96
5972,Canada,Yield,Maize,2007,85108,45140.03,537.0,7.07
5973,Canada,Yield,Maize,2007,85108,45140.03,537.0,7.72
5974,Canada,Yield,Apple,2007,126498,45140.03,537.0,7.42
5975,Canada,Yield,Apple,2007,126498,45140.03,537.0,9.14
5976,Canada,Yield,Apple,2007,126498,45140.03,537.0,5.25
5977,Canada,Yield,Apple,2007,126498,45140.03,537.0,4.96
5978,Canada,Yield,Apple,2007,126498,45140.03,537.0,7.07
5979,Canada,Yield,Apple,2007,126498,45140.03,537.0,7.72
5980,Canada,Yield,Soybeans,2007,23010,45140.03,537.0,7.42
5981,Canada,Yield,Soybeans,2007,23010,45140.03,537.0,9.14
5982,Canada,Yield,Soybeans,2007,23010,45140.03,537.0,5.25
5983,Canada,Yield,Soybeans,2007,23010,45140.03,537.0,4.96
5984,Canada,Yield,Soybeans,2007,23010,45140.03,537.0,7.07
5985,Canada,Yield,Soybeans,2007,23010,45140.03,537.0,7.72
5986,Canada,Yield,lentil,2007,23317,45140.03,537.0,7.42
5987,Canada,Yield,lentil,2007,23317,45140.03,537.0,9.14
5988,Canada,Yield,lentil,2007,23317,45140.03,537.0,5.25
5989,Canada,Yield,lentil,2007,23317,45140.03,537.0,4.96
5990,Canada,Yield,lentil,2007,23317,45140.03,537.0,7.07
5991,Canada,Yield,lentil,2007,23317,45140.03,537.0,7.72
5992,Canada,Yield,Maize,2008,90623,53707.3,537.0,7.5
5993,Canada,Yield,Maize,2008,90623,53707.3,537.0,8.61
5994,Canada,Yield,Maize,2008,90623,53707.3,537.0,5.62
5995,Canada,Yield,Maize,2008,90623,53707.3,537.0,5.01
5996,Canada,Yield,Maize,2008,90623,53707.3,537.0,6.58
5997,Canada,Yield,Maize,2008,90623,53707.3,537.0,7.3
5998,Canada,Yield,Apple,2008,126065,53707.3,537.0,7.5
5999,Canada,Yield,Apple,2008,126065,53707.3,537.0,8.61
6000,Canada,Yield,Apple,2008,126065,53707.3,537.0,5.62
6001,Canada,Yield,Apple,2008,126065,53707.3,537.0,5.01
6002,Canada,Yield,Apple,2008,126065,53707.3,537.0,6.58
6003,Canada,Yield,Apple,2008,126065,53707.3,537.0,7.3
6004,Canada,Yield,Soybeans,2008,27906,53707.3,537.0,7.5
6005,Canada,Yield,Soybeans,2008,27906,53707.3,537.0,8.61
6006,Canada,Yield,Soybeans,2008,27906,53707.3,537.0,5.62
6007,Canada,Yield,Soybeans,2008,27906,53707.3,537.0,5.01
6008,Canada,Yield,Soybeans,2008,27906,53707.3,537.0,6.58
6009,Canada,Yield,Soybeans,2008,27906,53707.3,537.0,7.3
6010,Canada,Yield,lentil,2008,28575,53707.3,537.0,7.5
6011,Canada,Yield,lentil,2008,28575,53707.3,537.0,8.61
6012,Canada,Yield,lentil,2008,28575,53707.3,537.0,5.62
6013,Canada,Yield,lentil,2008,28575,53707.3,537.0,5.01
6014,Canada,Yield,lentil,2008,28575,53707.3,537.0,6.58
6015,Canada,Yield,lentil,2008,28575,53707.3,537.0,7.3
6016,Canada,Yield,Maize,2009,83723,54529.4,537.0,7.12
6017,Canada,Yield,Maize,2009,83723,54529.4,537.0,8.38
6018,Canada,Yield,Maize,2009,83723,54529.4,537.0,5.27
6019,Canada,Yield,Maize,2009,83723,54529.4,537.0,4.71
6020,Canada,Yield,Maize,2009,83723,54529.4,537.0,6.28
6021,Canada,Yield,Maize,2009,83723,54529.4,537.0,7.8
6022,Canada,Yield,Apple,2009,127453,54529.4,537.0,7.12
6023,Canada,Yield,Apple,2009,127453,54529.4,537.0,8.38
6024,Canada,Yield,Apple,2009,127453,54529.4,537.0,5.27
6025,Canada,Yield,Apple,2009,127453,54529.4,537.0,4.71
6026,Canada,Yield,Apple,2009,127453,54529.4,537.0,6.28
6027,Canada,Yield,Apple,2009,127453,54529.4,537.0,7.8
6028,Canada,Yield,Soybeans,2009,25371,54529.4,537.0,7.12
6029,Canada,Yield,Soybeans,2009,25371,54529.4,537.0,8.38
6030,Canada,Yield,Soybeans,2009,25371,54529.4,537.0,5.27
6031,Canada,Yield,Soybeans,2009,25371,54529.4,537.0,4.71
6032,Canada,Yield,Soybeans,2009,25371,54529.4,537.0,6.28
6033,Canada,Yield,Soybeans,2009,25371,54529.4,537.0,7.8
6034,Canada,Yield,lentil,2009,27897,54529.4,537.0,7.12
6035,Canada,Yield,lentil,2009,27897,54529.4,537.0,8.38
6036,Canada,Yield,lentil,2009,27897,54529.4,537.0,5.27
6037,Canada,Yield,lentil,2009,27897,54529.4,537.0,4.71
6038,Canada,Yield,lentil,2009,27897,54529.4,537.0,6.28
6039,Canada,Yield,lentil,2009,27897,54529.4,537.0,7.8
6040,Canada,Yield,Maize,2010,97385,61050.0,537.0,8.64
6041,Canada,Yield,Maize,2010,97385,61050.0,537.0,9.47
6042,Canada,Yield,Maize,2010,97385,61050.0,537.0,7.11
6043,Canada,Yield,Maize,2010,97385,61050.0,537.0,6.73
6044,Canada,Yield,Maize,2010,97385,61050.0,537.0,7.77
6045,Canada,Yield,Maize,2010,97385,61050.0,537.0,8.33
6046,Canada,Yield,Apple,2010,128373,61050.0,537.0,8.64
6047,Canada,Yield,Apple,2010,128373,61050.0,537.0,9.47
6048,Canada,Yield,Apple,2010,128373,61050.0,537.0,7.11
6049,Canada,Yield,Apple,2010,128373,61050.0,537.0,6.73
6050,Canada,Yield,Apple,2010,128373,61050.0,537.0,7.77
6051,Canada,Yield,Apple,2010,128373,61050.0,537.0,8.33
6052,Canada,Yield,Soybeans,2010,29515,61050.0,537.0,8.64
6053,Canada,Yield,Soybeans,2010,29515,61050.0,537.0,9.47
6054,Canada,Yield,Soybeans,2010,29515,61050.0,537.0,7.11
6055,Canada,Yield,Soybeans,2010,29515,61050.0,537.0,6.73
6056,Canada,Yield,Soybeans,2010,29515,61050.0,537.0,7.77
6057,Canada,Yield,Soybeans,2010,29515,61050.0,537.0,8.33
6058,Canada,Yield,lentil,2010,28085,61050.0,537.0,8.64
6059,Canada,Yield,lentil,2010,28085,61050.0,537.0,9.47
6060,Canada,Yield,lentil,2010,28085,61050.0,537.0,7.11
6061,Canada,Yield,lentil,2010,28085,61050.0,537.0,6.73
6062,Canada,Yield,lentil,2010,28085,61050.0,537.0,7.77
6063,Canada,Yield,lentil,2010,28085,61050.0,537.0,8.33
6064,Canada,Yield,Maize,2011,88946,62107.2,537.0,8.34
6065,Canada,Yield,Maize,2011,88946,62107.2,537.0,9.32
6066,Canada,Yield,Maize,2011,88946,62107.2,537.0,6.52
6067,Canada,Yield,Maize,2011,88946,62107.2,537.0,6.14
6068,Canada,Yield,Maize,2011,88946,62107.2,537.0,7.3
6069,Canada,Yield,Maize,2011,88946,62107.2,537.0,7.21
6070,Canada,Yield,Apple,2011,120376,62107.2,537.0,8.34
6071,Canada,Yield,Apple,2011,120376,62107.2,537.0,9.32
6072,Canada,Yield,Apple,2011,120376,62107.2,537.0,6.52
6073,Canada,Yield,Apple,2011,120376,62107.2,537.0,6.14
6074,Canada,Yield,Apple,2011,120376,62107.2,537.0,7.3
6075,Canada,Yield,Apple,2011,120376,62107.2,537.0,7.21
6076,Canada,Yield,Soybeans,2011,28738,62107.2,537.0,8.34
6077,Canada,Yield,Soybeans,2011,28738,62107.2,537.0,9.32
6078,Canada,Yield,Soybeans,2011,28738,62107.2,537.0,6.52
6079,Canada,Yield,Soybeans,2011,28738,62107.2,537.0,6.14
6080,Canada,Yield,Soybeans,2011,28738,62107.2,537.0,7.3
6081,Canada,Yield,Soybeans,2011,28738,62107.2,537.0,7.21
6082,Canada,Yield,lentil,2011,29568,62107.2,537.0,8.34
6083,Canada,Yield,lentil,2011,29568,62107.2,537.0,9.32
6084,Canada,Yield,lentil,2011,29568,62107.2,537.0,6.52
6085,Canada,Yield,lentil,2011,29568,62107.2,537.0,6.14
6086,Canada,Yield,lentil,2011,29568,62107.2,537.0,7.3
6087,Canada,Yield,lentil,2011,29568,62107.2,537.0,7.21
6088,Canada,Yield,Maize,2012,92109,73508.9,537.0,9.24
6089,Canada,Yield,Maize,2012,92109,73508.9,537.0,10.51
6090,Canada,Yield,Maize,2012,92109,73508.9,537.0,7.09
6091,Canada,Yield,Maize,2012,92109,73508.9,537.0,6.59
6092,Canada,Yield,Maize,2012,92109,73508.9,537.0,8.66
6093,Canada,Yield,Maize,2012,92109,73508.9,537.0,7.85
6094,Canada,Yield,Apple,2012,124735,73508.9,537.0,9.24
6095,Canada,Yield,Apple,2012,124735,73508.9,537.0,10.51
6096,Canada,Yield,Apple,2012,124735,73508.9,537.0,7.09
6097,Canada,Yield,Apple,2012,124735,73508.9,537.0,6.59
6098,Canada,Yield,Apple,2012,124735,73508.9,537.0,8.66
6099,Canada,Yield,Apple,2012,124735,73508.9,537.0,7.85
6100,Canada,Yield,Soybeans,2012,30294,73508.9,537.0,9.24
6101,Canada,Yield,Soybeans,2012,30294,73508.9,537.0,10.51
6102,Canada,Yield,Soybeans,2012,30294,73508.9,537.0,7.09
6103,Canada,Yield,Soybeans,2012,30294,73508.9,537.0,6.59
6104,Canada,Yield,Soybeans,2012,30294,73508.9,537.0,8.66
6105,Canada,Yield,Soybeans,2012,30294,73508.9,537.0,7.85
6106,Canada,Yield,lentil,2012,28645,73508.9,537.0,9.24
6107,Canada,Yield,lentil,2012,28645,73508.9,537.0,10.51
6108,Canada,Yield,lentil,2012,28645,73508.9,537.0,7.09
6109,Canada,Yield,lentil,2012,28645,73508.9,537.0,6.59
6110,Canada,Yield,lentil,2012,28645,73508.9,537.0,8.66
6111,Canada,Yield,lentil,2012,28645,73508.9,537.0,7.85
6112,Canada,Yield,Maize,2013,95878,81659.8,537.0,9.19
6113,Canada,Yield,Maize,2013,95878,81659.8,537.0,10.11
6114,Canada,Yield,Maize,2013,95878,81659.8,537.0,7.86
6115,Canada,Yield,Maize,2013,95878,81659.8,537.0,7.08
6116,Canada,Yield,Maize,2013,95878,81659.8,537.0,8.46
6117,Canada,Yield,Maize,2013,95878,81659.8,537.0,9.85
6118,Canada,Yield,Apple,2013,132270,81659.8,537.0,9.19
6119,Canada,Yield,Apple,2013,132270,81659.8,537.0,10.11
6120,Canada,Yield,Apple,2013,132270,81659.8,537.0,7.86
6121,Canada,Yield,Apple,2013,132270,81659.8,537.0,7.08
6122,Canada,Yield,Apple,2013,132270,81659.8,537.0,8.46
6123,Canada,Yield,Apple,2013,132270,81659.8,537.0,9.85
6124,Canada,Yield,Soybeans,2013,28810,81659.8,537.0,9.19
6125,Canada,Yield,Soybeans,2013,28810,81659.8,537.0,10.11
6126,Canada,Yield,Soybeans,2013,28810,81659.8,537.0,7.86
6127,Canada,Yield,Soybeans,2013,28810,81659.8,537.0,7.08
6128,Canada,Yield,Soybeans,2013,28810,81659.8,537.0,8.46
6129,Canada,Yield,Soybeans,2013,28810,81659.8,537.0,9.85
6130,Canada,Yield,lentil,2013,35943,81659.8,537.0,9.19
6131,Canada,Yield,lentil,2013,35943,81659.8,537.0,10.11
6132,Canada,Yield,lentil,2013,35943,81659.8,537.0,7.86
6133,Canada,Yield,lentil,2013,35943,81659.8,537.0,7.08
6134,Canada,Yield,lentil,2013,35943,81659.8,537.0,8.46
6135,Canada,Yield,lentil,2013,35943,81659.8,537.0,9.85
6136,Central African Republic,Yield,Cassava,1990,28432,0.04,1342.0,25.42
6137,Central African Republic,Yield,Maize,1990,7324,0.04,1342.0,25.42
6138,Central African Republic,Yield,Plantains and Bananas,1990,26154,0.04,1342.0,25.42
6139,Central African Republic,Yield,Apple,1990,24509,0.04,1342.0,25.42
6140,Central African Republic,Yield,"Rice, paddy",1990,16729,0.04,1342.0,25.42
6141,Central African Republic,Yield,Sorghum,1990,7772,0.04,1342.0,25.42
6142,Central African Republic,Yield,mungbean,1990,65714,0.04,1342.0,25.42
6143,Central African Republic,Yield,Cassava,1991,33604,0.04,1342.0,25.45
6144,Central African Republic,Yield,Maize,1991,8149,0.04,1342.0,25.45
6145,Central African Republic,Yield,Plantains and Bananas,1991,26576,0.04,1342.0,25.45
6146,Central African Republic,Yield,Apple,1991,25714,0.04,1342.0,25.45
6147,Central African Republic,Yield,"Rice, paddy",1991,13375,0.04,1342.0,25.45
6148,Central African Republic,Yield,Sorghum,1991,10088,0.04,1342.0,25.45
6149,Central African Republic,Yield,mungbean,1991,66582,0.04,1342.0,25.45
6150,Central African Republic,Yield,Cassava,1992,34473,0.04,1342.0,24.81
6151,Central African Republic,Yield,Maize,1992,9038,0.04,1342.0,24.81
6152,Central African Republic,Yield,Plantains and Bananas,1992,26667,0.04,1342.0,24.81
6153,Central African Republic,Yield,Apple,1992,25813,0.04,1342.0,24.81
6154,Central African Republic,Yield,"Rice, paddy",1992,14516,0.04,1342.0,24.81
6155,Central African Republic,Yield,Sorghum,1992,12618,0.04,1342.0,24.81
6156,Central African Republic,Yield,mungbean,1992,68421,0.04,1342.0,24.81
6157,Central African Republic,Yield,Cassava,1993,34472,0.25,1342.0,25.14
6158,Central African Republic,Yield,Maize,1993,9038,0.25,1342.0,25.14
6159,Central African Republic,Yield,Plantains and Bananas,1993,26987,0.25,1342.0,25.14
6160,Central African Republic,Yield,Apple,1993,25833,0.25,1342.0,25.14
6161,Central African Republic,Yield,"Rice, paddy",1993,14514,0.25,1342.0,25.14
6162,Central African Republic,Yield,Sorghum,1993,11576,0.25,1342.0,25.14
6163,Central African Republic,Yield,mungbean,1993,67058,0.25,1342.0,25.14
6164,Central African Republic,Yield,Cassava,1994,30988,2.16,1342.0,25.39
6165,Central African Republic,Yield,Maize,1994,8500,2.16,1342.0,25.39
6166,Central African Republic,Yield,Plantains and Bananas,1994,27143,2.16,1342.0,25.39
6167,Central African Republic,Yield,Apple,1994,25785,2.16,1342.0,25.39
6168,Central African Republic,Yield,"Rice, paddy",1994,13201,2.16,1342.0,25.39
6169,Central African Republic,Yield,Sorghum,1994,8020,2.16,1342.0,25.39
6170,Central African Republic,Yield,mungbean,1994,66667,2.16,1342.0,25.39
6171,Central African Republic,Yield,Cassava,1995,28918,22.87,1342.0,25.5
6172,Central African Republic,Yield,Maize,1995,8500,22.87,1342.0,25.5
6173,Central African Republic,Yield,Plantains and Bananas,1995,27448,22.87,1342.0,25.5
6174,Central African Republic,Yield,Apple,1995,25725,22.87,1342.0,25.5
6175,Central African Republic,Yield,"Rice, paddy",1995,15214,22.87,1342.0,25.5
6176,Central African Republic,Yield,Sorghum,1995,7343,22.87,1342.0,25.5
6177,Central African Republic,Yield,mungbean,1995,66667,22.87,1342.0,25.5
6178,Central African Republic,Yield,Cassava,1996,29228,22.87,1342.0,25.32
6179,Central African Republic,Yield,Maize,1996,8500,22.87,1342.0,25.32
6180,Central African Republic,Yield,Plantains and Bananas,1996,27693,22.87,1342.0,25.32
6181,Central African Republic,Yield,Apple,1996,25676,22.87,1342.0,25.32
6182,Central African Republic,Yield,"Rice, paddy",1996,13200,22.87,1342.0,25.32
6183,Central African Republic,Yield,Sorghum,1996,7835,22.87,1342.0,25.32
6184,Central African Republic,Yield,mungbean,1996,66038,22.87,1342.0,25.32
6185,Central African Republic,Yield,Cassava,1997,30458,22.87,1342.0,25.69
6186,Central African Republic,Yield,Maize,1997,9178,22.87,1342.0,25.69
6187,Central African Republic,Yield,Plantains and Bananas,1997,27931,22.87,1342.0,25.69
6188,Central African Republic,Yield,Apple,1997,25549,22.87,1342.0,25.69
6189,Central African Republic,Yield,"Rice, paddy",1997,14167,22.87,1342.0,25.69
6190,Central African Republic,Yield,Sorghum,1997,8424,22.87,1342.0,25.69
6191,Central African Republic,Yield,mungbean,1997,66667,22.87,1342.0,25.69
6192,Central African Republic,Yield,Cassava,1998,30380,22.87,1342.0,25.96
6193,Central African Republic,Yield,Maize,1998,9799,22.87,1342.0,25.96
6194,Central African Republic,Yield,Plantains and Bananas,1998,28276,22.87,1342.0,25.96
6195,Central African Republic,Yield,Apple,1998,25526,22.87,1342.0,25.96
6196,Central African Republic,Yield,"Rice, paddy",1998,14231,22.87,1342.0,25.96
6197,Central African Republic,Yield,Sorghum,1998,8452,22.87,1342.0,25.96
6198,Central African Republic,Yield,mungbean,1998,67151,22.87,1342.0,25.96
6199,Central African Republic,Yield,Cassava,1999,29421,22.87,1342.0,25.05
6200,Central African Republic,Yield,Maize,1999,10556,22.87,1342.0,25.05
6201,Central African Republic,Yield,Plantains and Bananas,1999,28381,22.87,1342.0,25.05
6202,Central African Republic,Yield,Apple,1999,25434,22.87,1342.0,25.05
6203,Central African Republic,Yield,"Rice, paddy",1999,15000,22.87,1342.0,25.05
6204,Central African Republic,Yield,Sorghum,1999,7660,22.87,1342.0,25.05
6205,Central African Republic,Yield,mungbean,1999,67925,22.87,1342.0,25.05
6206,Central African Republic,Yield,Cassava,2000,29839,22.87,1342.0,25.4
6207,Central African Republic,Yield,Maize,2000,10600,22.87,1342.0,25.4
6208,Central African Republic,Yield,Plantains and Bananas,2000,28575,22.87,1342.0,25.4
6209,Central African Republic,Yield,Apple,2000,25641,22.87,1342.0,25.4
6210,Central African Republic,Yield,"Rice, paddy",2000,14903,22.87,1342.0,25.4
6211,Central African Republic,Yield,Sorghum,2000,6967,22.87,1342.0,25.4
6212,Central African Republic,Yield,mungbean,2000,67857,22.87,1342.0,25.4
6213,Central African Republic,Yield,Cassava,2001,30383,22.87,1342.0,25.28
6214,Central African Republic,Yield,Maize,2001,10700,22.87,1342.0,25.28
6215,Central African Republic,Yield,Plantains and Bananas,2001,28770,22.87,1342.0,25.28
6216,Central African Republic,Yield,Apple,2001,24792,22.87,1342.0,25.28
6217,Central African Republic,Yield,"Rice, paddy",2001,14882,22.87,1342.0,25.28
6218,Central African Republic,Yield,Sorghum,2001,8048,22.87,1342.0,25.28
6219,Central African Republic,Yield,mungbean,2001,67585,22.87,1342.0,25.28
6220,Central African Republic,Yield,Cassava,2002,30614,22.87,1342.0,25.44
6221,Central African Republic,Yield,Maize,2002,9826,22.87,1342.0,25.44
6222,Central African Republic,Yield,Plantains and Bananas,2002,29286,22.87,1342.0,25.44
6223,Central African Republic,Yield,Apple,2002,24109,22.87,1342.0,25.44
6224,Central African Republic,Yield,"Rice, paddy",2002,14891,22.87,1342.0,25.44
6225,Central African Republic,Yield,Sorghum,2002,10322,22.87,1342.0,25.44
6226,Central African Republic,Yield,mungbean,2002,67308,22.87,1342.0,25.44
6227,Central African Republic,Yield,Cassava,2004,29768,22.87,1342.0,25.67
6228,Central African Republic,Yield,Maize,2004,9615,22.87,1342.0,25.67
6229,Central African Republic,Yield,Plantains and Bananas,2004,29096,22.87,1342.0,25.67
6230,Central African Republic,Yield,Apple,2004,20308,22.87,1342.0,25.67
6231,Central African Republic,Yield,"Rice, paddy",2004,19938,22.87,1342.0,25.67
6232,Central African Republic,Yield,Sorghum,2004,8288,22.87,1342.0,25.67
6233,Central African Republic,Yield,mungbean,2004,67308,22.87,1342.0,25.67
6234,Central African Republic,Yield,Cassava,2005,29771,22.87,1342.0,25.92
6235,Central African Republic,Yield,Maize,2005,9034,22.87,1342.0,25.92
6236,Central African Republic,Yield,Plantains and Bananas,2005,28929,22.87,1342.0,25.92
6237,Central African Republic,Yield,Apple,2005,18862,22.87,1342.0,25.92
6238,Central African Republic,Yield,"Rice, paddy",2005,20087,22.87,1342.0,25.92
6239,Central African Republic,Yield,Sorghum,2005,8998,22.87,1342.0,25.92
6240,Central African Republic,Yield,mungbean,2005,68693,22.87,1342.0,25.92
6241,Central African Republic,Yield,Cassava,2006,29789,22.87,1342.0,25.85
6242,Central African Republic,Yield,Maize,2006,9010,22.87,1342.0,25.85
6243,Central African Republic,Yield,Plantains and Bananas,2006,28962,22.87,1342.0,25.85
6244,Central African Republic,Yield,Apple,2006,15360,22.87,1342.0,25.85
6245,Central African Republic,Yield,"Rice, paddy",2006,16000,22.87,1342.0,25.85
6246,Central African Republic,Yield,Sorghum,2006,9517,22.87,1342.0,25.85
6247,Central African Republic,Yield,mungbean,2006,68519,22.87,1342.0,25.85
6248,Central African Republic,Yield,Cassava,2007,30000,22.87,1342.0,25.88
6249,Central African Republic,Yield,Maize,2007,8500,22.87,1342.0,25.88
6250,Central African Republic,Yield,Plantains and Bananas,2007,29078,22.87,1342.0,25.88
6251,Central African Republic,Yield,Apple,2007,14295,22.87,1342.0,25.88
6252,Central African Republic,Yield,"Rice, paddy",2007,15000,22.87,1342.0,25.88
6253,Central African Republic,Yield,Sorghum,2007,10000,22.87,1342.0,25.88
6254,Central African Republic,Yield,mungbean,2007,71650,22.87,1342.0,25.88
6255,Central African Republic,Yield,Cassava,2008,30000,22.87,1342.0,25.76
6256,Central African Republic,Yield,Maize,2008,8500,22.87,1342.0,25.76
6257,Central African Republic,Yield,Plantains and Bananas,2008,29052,22.87,1342.0,25.76
6258,Central African Republic,Yield,Apple,2008,13425,22.87,1342.0,25.76
6259,Central African Republic,Yield,"Rice, paddy",2008,15000,22.87,1342.0,25.76
6260,Central African Republic,Yield,Sorghum,2008,10000,22.87,1342.0,25.76
6261,Central African Republic,Yield,mungbean,2008,73831,22.87,1342.0,25.76
6262,Central African Republic,Yield,Cassava,2009,30000,22.87,1342.0,26.17
6263,Central African Republic,Yield,Maize,2009,8500,22.87,1342.0,26.17
6264,Central African Republic,Yield,Plantains and Bananas,2009,29310,22.87,1342.0,26.17
6265,Central African Republic,Yield,Apple,2009,12657,22.87,1342.0,26.17
6266,Central African Republic,Yield,"Rice, paddy",2009,15000,22.87,1342.0,26.17
6267,Central African Republic,Yield,Sorghum,2009,10000,22.87,1342.0,26.17
6268,Central African Republic,Yield,mungbean,2009,75844,22.87,1342.0,26.17
6269,Central African Republic,Yield,Cassava,2010,28175,22.87,1342.0,26.06
6270,Central African Republic,Yield,Maize,2010,16148,22.87,1342.0,26.06
6271,Central African Republic,Yield,Plantains and Bananas,2010,29333,22.87,1342.0,26.06
6272,Central African Republic,Yield,Apple,2010,11650,22.87,1342.0,26.06
6273,Central African Republic,Yield,"Rice, paddy",2010,23353,22.87,1342.0,26.06
6274,Central African Republic,Yield,Sorghum,2010,9269,22.87,1342.0,26.06
6275,Central African Republic,Yield,mungbean,2010,79091,22.87,1342.0,26.06
6276,Central African Republic,Yield,Cassava,2011,28132,22.87,1342.0,25.23
6277,Central African Republic,Yield,Maize,2011,16804,22.87,1342.0,25.23
6278,Central African Republic,Yield,Plantains and Bananas,2011,28475,22.87,1342.0,25.23
6279,Central African Republic,Yield,Apple,2011,11574,22.87,1342.0,25.23
6280,Central African Republic,Yield,"Rice, paddy",2011,16000,22.87,1342.0,25.23
6281,Central African Republic,Yield,Sorghum,2011,11707,22.87,1342.0,25.23
6282,Central African Republic,Yield,mungbean,2011,78326,22.87,1342.0,25.23
6283,Central African Republic,Yield,Cassava,2012,28132,22.87,1342.0,25.28
6284,Central African Republic,Yield,Maize,2012,17505,22.87,1342.0,25.28
6285,Central African Republic,Yield,Plantains and Bananas,2012,28333,22.87,1342.0,25.28
6286,Central African Republic,Yield,Apple,2012,11818,22.87,1342.0,25.28
6287,Central African Republic,Yield,"Rice, paddy",2012,30000,22.87,1342.0,25.28
6288,Central African Republic,Yield,Sorghum,2012,11707,22.87,1342.0,25.28
6289,Central African Republic,Yield,mungbean,2012,79310,22.87,1342.0,25.28
6290,Central African Republic,Yield,Cassava,2013,28375,22.87,1342.0,25.69
6291,Central African Republic,Yield,Maize,2013,12446,22.87,1342.0,25.69
6292,Central African Republic,Yield,Plantains and Bananas,2013,28626,22.87,1342.0,25.69
6293,Central African Republic,Yield,Apple,2013,11818,22.87,1342.0,25.69
6294,Central African Republic,Yield,"Rice, paddy",2013,18665,22.87,1342.0,25.69
6295,Central African Republic,Yield,Sorghum,2013,10529,22.87,1342.0,25.69
6296,Central African Republic,Yield,mungbean,2013,78333,22.87,1342.0,25.69
6297,Chile,Yield,Maize,1990,81395,15373.0,1522.0,12.88
6298,Chile,Yield,Maize,1990,81395,15373.0,1522.0,6.11
6299,Chile,Yield,Apple,1990,150300,15373.0,1522.0,12.88
6300,Chile,Yield,Apple,1990,150300,15373.0,1522.0,6.11
6301,Chile,Yield,"Rice, paddy",1990,41734,15373.0,1522.0,12.88
6302,Chile,Yield,"Rice, paddy",1990,41734,15373.0,1522.0,6.11
6303,Chile,Yield,Sweet potatoes,1990,74784,15373.0,1522.0,12.88
6304,Chile,Yield,Sweet potatoes,1990,74784,15373.0,1522.0,6.11
6305,Chile,Yield,lentil,1990,29481,15373.0,1522.0,12.88
6306,Chile,Yield,lentil,1990,29481,15373.0,1522.0,6.11
6307,Chile,Yield,Maize,1991,83916,15373.0,1522.0,13.0
6308,Chile,Yield,Maize,1991,83916,15373.0,1522.0,6.37
6309,Chile,Yield,Apple,1991,142245,15373.0,1522.0,13.0
